Week,y
2018-12-31,1293552
2019-01-07,1788188
2019-01-14,1776059
2019-01-21,1776057
2019-01-28,1850517
2019-02-04,1830598
2019-02-11,1726362
2019-02-18,1651755
2019-02-25,1809588
2019-03-04,1843282
2019-03-11,1838967
2019-03-18,1727142
2019-03-25,1699899
2019-04-01,1816742
2019-04-08,1801170
2019-04-15,1683287
2019-04-22,1689340
2019-04-29,1817185
2019-05-06,1757514
2019-05-13,1778361
2019-05-20,1594566
2019-05-27,1592105
2019-06-03,1647322
2019-06-10,1634865
2019-06-17,1637002
2019-06-24,1596375
2019-07-01,1146046
2019-07-08,1489475
2019-07-15,1536042
2019-07-22,1493549
2019-07-29,1456993
2019-08-05,1404419
2019-08-12,1380631
2019-08-19,1362020
2019-08-26,1262865
2019-09-02,1447196
2019-09-09,1630323
2019-09-16,1628771
2019-09-23,1531481
2019-09-30,1576043
2019-10-07,1597524
2019-10-14,1630756
2019-10-21,1654381
2019-10-28,1673603
2019-11-04,1669126
2019-11-11,1667292
2019-11-18,1667147
2019-11-25,1319929
2019-12-02,1745850
2019-12-09,1794583
2019-12-16,1728445
2019-12-23,1100942
2019-12-30,1206150
2020-01-06,1462297
2020-01-13,1493805
2020-01-20,1474514
2020-01-27,1517785
2020-02-03,1539471
2020-02-10,1541024
2020-02-17,1420733
2020-02-24,1572761
2020-03-02,1508374
2020-03-09,997773
2020-03-16,230122
2020-03-23,72293
2020-03-30,59077
2020-04-06,51227
2020-04-13,53220
2020-04-20,55182
2020-04-27,65103
2020-05-04,75396
2020-05-11,82577
2020-05-18,79774
2020-05-25,83926
2020-06-01,98996
2020-06-08,115624
2020-06-15,128156
2020-06-22,157052
2020-06-29,152193
2020-07-06,166315
2020-07-13,179625
2020-07-20,189047
2020-07-27,210358
2020-08-03,214971
2020-08-10,225843
2020-08-17,237158
2020-08-24,246192
2020-08-31,258623
2020-09-07,286124
2020-09-14,330718
2020-09-21,349997
2020-09-28,354908
2020-10-05,359600
2020-10-12,368681
2020-10-19,384477
2020-10-26,407915
2020-11-02,369436
2020-11-09,384869
2020-11-16,378223
2020-11-23,287548
2020-11-30,350867
2020-12-07,370843
2020-12-14,324536
2020-12-21,282344
2020-12-28,264801
2021-01-04,311505
2021-01-11,325073
2021-01-18,318331
2021-01-25,329366
2021-02-01,285998
2021-02-08,372582
2021-02-15,331308
2021-02-22,381807
2021-03-01,410651
2021-03-08,427745
2021-03-15,451024
2021-03-22,443338
2021-03-29,445311
2021-04-05,480799
2021-04-12,512944
2021-04-19,522934
2021-04-26,543273
2021-05-03,568521
2021-05-10,575052
2021-05-17,602077
2021-05-24,563033
2021-05-31,603021
2021-06-07,653078
2021-06-14,663461
2021-06-21,676786
2021-06-28,607637
2021-07-05,609330
2021-07-12,667702
2021-07-19,651519
2021-07-26,653587
2021-08-02,637255
2021-08-09,646959
2021-08-16,620488
2021-08-23,632687
2021-08-30,617475
2021-09-06,672849
2021-09-13,717611
2021-09-20,715753
2021-09-27,741333
2021-10-04,765991
2021-10-11,776273
2021-10-18,798002
2021-10-25,799799
2021-11-01,834130
2021-11-08,845915
2021-11-15,869492
2021-11-22,696809
2021-11-29,855480
2021-12-06,876612
2021-12-13,808471
2021-12-20,531988
2021-12-27,368293
